id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
3155,Questa notte mi ha aperto gli occhi,Jonathan Coe;Maria Giulia Castagnone,Fiction;Contemporary;Music;European Literature;British Literature,January 2010,206,Feltrinelli,Italian
3156,Neanderthal Seeks Human,Penny Reid,Romance;Contemporary;Romance;Contemporary Romance;Womens Fiction;Chick Lit;Humor;Funny,March 14th 2013,403,Caped Publishing,
3157,Cold Comfort Farm,Stella Gibbons;Lynne Truss;Roz Chast,Fiction;Classics;Humor,March 28th 2006,233,Penguin Classics,English
3158,Leverage,Jessica Wilde,Romance;Romance;Contemporary Romance;Suspense;Romance;Romantic Suspense;Contemporary,March 25th 2014,208,CreateSpace Independent Publishing Platform,
3159,The Rescue,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary,April 1st 2005,352,Grand Central Publishing,English
3160,Touch of Death,Kelly Hashway,Young Adult;Fantasy;Paranormal;Fantasy;Mythology;Fantasy;Romance,January 15th 2013,235,Spencer Hill Press,
3161,Summer Nights,Susan Mallery,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,June 26th 2012,378,HQN,English
3162,Mr. Wright Now,Alannah Carbonneau,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Adult;Contemporary,April 7th 2015,270,,None
3163,Horror the series Book 5 : Annabelle: The toy of the death (Horrror the series),K.C. Edward;45 Minutes Short read;J.D. Killi,,January 30th 2015,58,Horror the series publishing,None
3164,The West Series Books 4-6,Jill Sanders,,November 7th 2014,449,,
3165,The Blinding Light,Renae Kaye,Romance;M M Romance;Disability;Contemporary;Romance;Family,July 14th 2014,212,Dreamspinner Press,
3166,Lust: All the King's Men,Violette Paradis,,May 12th 2014,65,Paradis Erotica,
3167,Love & Misadventure,Lang Leav,Poetry;Romance,April 26th 2013,176,Lang Leav,English
3168,Carnal Secrets,Suzanne Wright,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Shapeshifters;Shapeshifters;Werewolves;Fantasy,February 11th 2014,366,Montlake Romance,
3169,Bound by Honor,Cora Reilly,Romance;New Adult;Contemporary;Dark,December 14th 2014,253,Smashwords,
3170,Sing You Home,Jodi Picoult,Fiction;Lgbt;Womens Fiction;Chick Lit,March 1st 2011,466,Atria Books,English
3171,Un poco de abril; algo de mayo; todo septiembre,Jordi Sierra i Fabra,,March 10th 2011,202,Viceversa Juvenil,Spanish
3172,Love & the Zombie Apocalypse,Chelsea Luna;Chelsea Bellingeri,Horror;Zombies;Horror;Young Adult;Romance;Science Fiction;Dystopia,October 24th 2013,234,CreateSpace Independent Publishing Platform,
3173,Final Debt,Pepper Winters,Dark;Romance;Adult Fiction;Erotica;Sociology;Abuse;Suspense,November 30th 2015,481,,
3174,Hate: A Love Story,Laurel Ulen Curtis,Romance;New Adult;Romance;Contemporary Romance;Contemporary,October 11th 2014,285,Laurel Ulen Curtis,None
3175,Say My Name,J. Kenner;Abby Craden,Romance;Adult Fiction;Erotica;Romance;Contemporary Romance;Contemporary,April 7th 2015,None,Random House Audio,English
3176,The Dream Hunter,Sherrilyn Kenyon,Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Paranormal;Vampires;Fantasy;Urban Fantasy,February 6th 2007,340,St. Martin's Press,English
3177,Dom Wars: Round Two,Lucian Bane,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Humor,March 20th 2014,108,,
3178,A Chance with Spring,Alora Kate,Business;Amazon;Romantic,April 20th 2015,None,,None
3179,Revenant,Michelle St. James,,October 18th 2016,264,Blackthorn Press,
3180,Sara Videbeck and the Chapel,Carl Jonas Love Almqvist;Adolph B. Benson,Classics;European Literature;Swedish Literature;Fiction;Feminism;European Literature;Scandinavian Literature;Cultural;Sweden;Romance;Literature;19th Century;Historical;Historical Fiction;Academic;School,August 2nd 2010,264,Nabu Press,English
3181,Promise Me Darkness,Paige Weaver,New Adult;Romance;Science Fiction;Dystopia;Did Not Finish,April 8th 2013,368,,
3182,The Lady's Guard,Christi Caldwell,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Fiction,July 25th 2017,322,Montlake Romance,
3183,The Soldier's Wife,Pamela Hart,Historical;Historical Fiction;Romance;Historical;Cultural;Australia;War,April 28th 2015,384,Hachette Australia,None
3184,One Good Reason,Sarah Mayberry,Romance;Romance;Contemporary Romance;Contemporary;Category Romance;Harlequin;Romance;Category Romance,August 2011,281,Harlequin Books,English
3185,To the Moon and Back,Jill Mansell,Womens Fiction;Chick Lit;Fiction;Romance;Contemporary Romance;Contemporary,,407,Headline Review,English
3186,Blood Tide,Tess Oliver,Paranormal;Vampires;Romance;Paranormal Romance;Young Adult,July 17th 2011,255,,None
3187,The Taming of the Duke,Eloisa James,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,March 28th 2006,392,Avon,English
3188,Gone Girl,Gillian Flynn,Mystery;Fiction;Mystery;Crime;Contemporary;Thriller,May 24th 2012,444,Orion,English
3189,Slightly Sinful,Mary Balogh,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,April 27th 2004,342,Dell,English
3190,The Seduction of the Crimson Rose,Lauren Willig,Historical;Historical Fiction;Romance;Historical;Mystery;Romance;Historical Romance;Fiction;Womens Fiction;Chick Lit,January 31st 2008,385,Dutton Adult,English
3191,Wife for Hire,Christine  Bell,Romance;Romance;Contemporary Romance;Contemporary;Adult,August 18th 2012,133,Entangled Publishing (Indulgence),
3192,Cherish,Catherine Anderson,Romance;Historical Romance;Romance;Westerns;Historical;Romance;Western Romance,November 25th 2008,385,Avon,English
3193,Great Maria,Cecelia Holland,Historical;Historical Fiction;Fiction;Historical;Cultural;Italy;Historical;Medieval;Romance;Literature;11th Century;Romance;Historical Romance;Novels;Action,May 1st 1993,528,Soho Press,English
3194,The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion,Mark Cotta Vaz,Fantasy;Young Adult;Paranormal;Vampires;Romance,December 13th 2011,144,Little; Brown Books for Young Readers,
3195,White Gardenia,Belinda Alexandra,Historical;Historical Fiction;Fiction;Cultural;Russia;Historical;Romance,,580,HarperCollins Publishers (Australia) Pty Ltd,
3196,Destined,Morgan Rice,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Fantasy,May 26th 2011,220,Morgan Rice,English
3197,Champagne Showers,Adler and Holt,Adult Fiction;Erotica;Romance;Romance;Contemporary Romance;Did Not Finish;Romance;Erotic Romance,December 4th 2012,334,,
3198,The Crush,Sandra Brown,Romance;Romance;Romantic Suspense;Mystery;Suspense;Thriller,August 18th 2003,480,Coronet Books,English
3199,Scars and Songs,Christine Zolendz,Fantasy;Paranormal;Romance;Paranormal;Angels;New Adult;Romance;Paranormal Romance;Fantasy,June 12th 2013,461,,
3200,Jessica and Sharon,C.D. Reiss,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Novella;Contemporary;Romance;Contemporary Romance,May 10th 2013,23,Flip City Media Inc.,
3201,Alpha's Claim: Manlove Edition,Tyler Robbins;Avril Ashton;Pelaam;Nikka Michaels;J.C. Holly;Lucy Felthouse;Karly Germain;Eileen Griffin,Anthologies;Romance;M M Romance;Fantasy;Paranormal;Paranormal;Shapeshifters;Romance,January 23rd 2014,252,Evernight Publishing,;
3202,Make Me,Amanda Heath,Romance;New Adult;Young Adult;High School;Young Adult;Contemporary,November 15th 2013,None,,None
3203,Five Miles,Lili St. Germain,Dark;Romance,March 31st 2014,149,Smashwords,
3204,Pearls of Passion,Chantilly White,Romance;Adult Fiction;Erotica;Romance;Contemporary Romance,February 29th 2012,28,Chantilly White,
3205,Anne of Avonlea,L.M. Montgomery,Classics;Fiction;Young Adult;Historical;Historical Fiction;Childrens;Historical;Cultural;Canada;Romance;Childrens;Middle Grade;Audiobook,October 6th 1997,304,Random House Children's Books,English
3206,Il senso di Smilla per la neve,Peter Høeg,Fiction;Mystery;Mystery;Crime;Thriller;Cultural;Denmark;European Literature;Scandinavian Literature,,511,Arnoldo Mondadori Editore,Italian
3207,Crave The Night,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance;Fantasy,August 5th 2014,288,Delacorte Press,English
3208,Jake,Raeann Blake,Romance;Westerns;Contemporary,October 5th 2012,374,P. O. Milligan,
3209,That Lass O'Lowrie's,Frances Hodgson Burnett,Fiction;Historical;Historical Fiction;Classics,April 1st 1999,158,Alan Sutton Publishing,English
3210,Here's Looking at You,Mhairi McFarlane,Romance;Womens Fiction;Chick Lit;Contemporary;Fiction;Adult,December 5th 2013,432,AVON; a division of HarperCollins Publishers Ltd,English
3211,O Gato Malhado e a Andorinha Sinhá: Uma História de Amor,Jorge Amado,European Literature;Portuguese Literature;Fiction;Romance;Classics;Childrens,,76,Europa-América,Portuguese
3212,Enraptured,Alannah Carbonneau,Romance;New Adult;Academic;College,October 16th 2013,420,,
3213,OmniChannel Marketing 1,Kotler Wealtha,,February 9th 2015,24,Freed Publishing,None
3214,Secret Sauce,Jill Sanders,New York,August 31st 2014,300,Jill Sanders,
3215,Rekindled Love,T.L. Clark,Drama;Suspense,May 19th 2014,166,,None
3216,The River Leith,Leta Blake,Romance;M M Romance;Contemporary;Romance;Sports and Games;Sports;Disability,May 15th 2014,173,Leta Blake,
3217,Haunted,Violette Paradis,,October 15th 2014,63,,None
3218,Dark Instincts,Suzanne Wright,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Shapeshifters;Fantasy,April 7th 2015,322,Montlake Romance,
3219,Just Friends?,Allison Leigh,Romance;Contemporary;Category Romance;Mills and Boon,February 1st 2007,245,Silhouette Books,English
3220,Blood Song,Cat Adams,Fantasy;Urban Fantasy;Paranormal;Vampires;Fantasy;Paranormal;Fantasy;Fantasy;Magic;Romance;Paranormal Romance;Romance;Adult;Fantasy;Supernatural;Shapeshifters;Werewolves,June 8th 2010,364,Tor Books,English
3221,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,Realistic Fiction;Young Adult;Coming Of Age;Lgbt;Young Adult;Audiobook,February 21st 2012,359,Simon  Schuster Books for Young Readers,English
3222,Along the Infinite Sea,Beatriz Williams,Historical;Historical Fiction;Fiction;Romance;Historical;Womens Fiction;Chick Lit,November 3rd 2015,464,G.P. Putnam's Sons,
3223,All Hallows Eve,Chelsea Luna,Young Adult;Fantasy;Paranormal;Paranormal;Witches;Fantasy,April 23rd 2013,232,Createspace,
3224,Chosen To Die,Lisa Jackson,Mystery;Romance;Romantic Suspense;Thriller,August 1st 2009,460,Zebra,English
3225,Foreplay,Sophie Jordan,New Adult;Romance;Contemporary;Romance;Contemporary Romance;Academic;College,November 5th 2013,304,William Morrow,English
3226,Overture (Rain Dance; #1),Elle Devrou,Romance;Contemporary Romance,December 30th 2015,653,,None
3227,Reckless,S.C. Stephens,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Music;Adult;Womens Fiction;Chick Lit;Adult Fiction;Erotica;Love;Young Adult,,534,,
3228,Night Play,Sherrilyn Kenyon,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires;Fantasy;Urban Fantasy,August 2004,362,St. Martin's Press,English
3229,Forever My Home,Alora Kate;Silvia Curry,Romance,September 16th 2015,242,,
3230,Rule,Michelle St. James,,November 29th 2016,235,Blackthorn Press,
3231,To Sir Phillip; With Love: The Epilogue II,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,September 1st 2009,22,Harper Collins,
3232,Lucca,Sarah Brianne,Romance;New Adult;Dark;Contemporary;Romance;Contemporary Romance,January 31st 2017,None,,None
3233,When Strangers Marry,Lisa Kleypas,Romance;Historical Romance;Romance;Historical,August 1st 2002,390,Avon,English
3234,Look for Me by Moonlight,Mary Downing Hahn,Young Adult;Paranormal;Vampires;Fantasy;Horror;Fantasy;Paranormal;Romance,March 1st 1997,181,HarperTrophy,English
3235,The Golden Valkyrie,Iris Johansen,Romance;Contemporary;Category Romance;Loveswept;Romance;Contemporary Romance,December 1st 1985,182,Bantam Books,English
3236,The Courage to Love,Samantha Kane,Adult Fiction;Erotica;Romance;Historical Romance;Romance;Menage;M M F;Romance;Erotic Romance,September 30th 2009,210,Ellora's Cave,English
3237,The Au Pair: A True Story,Michele Macfarlane,Nonfiction;Romance;Lgbt;Glbt;Lesbian,October 1st 2011,322,Jacana Media,
3238,Finding Zach,Rowan Speedwell,Romance;M M Romance;Romance;Contemporary;Sociology;Abuse,May 2010,252,Dreamspinner Press,English
3239,¿Y a ti qué te importa?,Megan Maxwell,Womens Fiction;Chick Lit;Romance;Romance;Erotic Romance,March 12th 2012,463,Versatil Ediciones,None
3240,Ice,Stephanie Rowe,Romance;Romance;Romantic Suspense;Contemporary;Suspense,June 30th 2009,None,Love Spell,
3241,Down for the Count,Christine  Bell,Romance;Contemporary;Romance;Contemporary Romance;Adult Fiction;Erotica;Adult;Sports and Games;Sports,October 1st 2012,128,Entangled Publishing (Brazen),
3242,Here to Stay,Catherine Anderson,Romance;Romance;Contemporary Romance;Contemporary;Fiction,January 25th 2011,412,Signet Book,English
3243,Tidal,Emily Snow,New Adult;Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,255,,None
3244,The Bet,Rachel Van Dyken,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Humor;Funny,March 26th 2013,240,,
3245,Queen's Grace,Jan Westcott,Historical;Historical Fiction;European Literature;British Literature,May 1st 1984,444,Queens House,
3246,Risky Shot,Kathleen Brooks,Romance;Romance;Romantic Suspense;Contemporary;Suspense,July 28th 2011,201,Laurens Publishing,;
3247,The Lord of the Rings: The Art of The Fellowship of the Ring,Gary Russell,Fantasy;Art;Culture;Film,June 12th 2002,192,Houghton Mifflin Harcourt,English
3248,East,Edith Pattou,Fantasy;Young Adult;Fantasy;Fairy Tales;Romance;Retellings,May 1st 2005,507,HMH Books for Young Readers,English
3249,Betrayed,Morgan Rice,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Fantasy,April 15th 2011,220,Morgan Rice,English
3250,By My Side,Stephanie Witter,New Adult;Contemporary;Romance;Drama;Young Adult,March 29th 2013,150,Anchor Group Publishing,None
3251,Wild Oats,Pamela Morsi,Romance;Historical Romance;Romance;Historical;Westerns;Historical;Historical Fiction,September 1st 1993,326,Jove,English
3252,The Secret Trinity: Ignite,Jenna Bernel,Fantasy;Fantasy;Paranormal;Paranormal;Witches;Paranormal;Fairies;Young Adult;Romance;Fantasy;Magic,July 20th 2012,188,,
3253,Monica,C.D. Reiss,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Novella;Adult;Contemporary;Romance;Contemporary Romance,November 15th 2013,21,Christine DeMaio,None
3254,Girls Rule; Boys Drool,Lucy Felthouse,Adult Fiction;Erotica;Novella;Anthologies;Collections,December 5th 2013,31,House of Erotica,
3255,Just This Once,Rosalind  James,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit,August 29th 2012,294,,
3256,Six Brothers,Lili St. Germain,Dark;Sociology;Abuse;Romance,February 16th 2014,100,Lili Saint Germain Publishing,
3257,The Da Vinci Code,Dan Brown,Mystery;Thriller;Suspense;Historical;Historical Fiction;Adventure;Thriller;Mystery Thriller;Novels;Mystery;Crime;Adult;Contemporary,March 28th 2006,481,Anchor,English
3258,Thorns of Eden,Diana Ballew,Romance;Historical Romance;Historical;Historical Fiction;Adult Fiction;Erotica,August 5th 2011,328,The Wild Rose Press,None
3259,L'eredità di Eszter,Sándor Márai;Marinella D'Alessandro;Giacomo Bonetti,Fiction;Cultural;Hungary;Romance;European Literature;Hungarian Literature;Literature,June 25th 1999,137,Adelphi,Italian
3260,The Secret of Chimneys,Agatha Christie,Mystery;Fiction;Mystery;Crime;Classics,June 1st 1984,256,Berkley,English
3261,Ramses: The Lady of Abu Simbel,Christian Jacq;Mary Feeney,Historical;Historical Fiction;Fiction;Historical;Northern Africa;Egypt,November 1st 1998,384,Grand Central Publishing,English
3262,Summer Days,Susan Mallery,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,May 29th 2012,378,HQN Books,English
3263,My Daughter 's Friends,J.D. Killi,,November 24th 2014,None,30 Minutes Read,None
3264,The West Series Boxset,Jill Sanders,Romance;Drama,July 4th 2014,800,Jill Sanders,
3265,Raine Falling,Paula Marinaro,Romance;Romance;Contemporary Romance;Contemporary,August 19th 2014,354,Montlake Romance,
3266,Lovestruck in London,Rachel Schurig,Romance;Womens Fiction;Chick Lit;Contemporary;Romance;Contemporary Romance;New Adult,May 19th 2013,273,Rachel Schurig,
3267,With Me,Violette Paradis,,November 25th 2014,59,,
3268,The Fallen Series Boxed Set,Lauren Kate,Young Adult;Fantasy;Romance;Fantasy;Paranormal;Paranormal;Angels;Paranormal;Demons,October 23rd 2012,None,Delacorte Press,
3269,Sing,C.D. Reiss,Erotica;Bdsm;Romance;Adult Fiction;Erotica;Contemporary,October 7th 2013,166,eXcessica Publishing,
3270,Shadow Crossing,Catherine Spangler,Romance;Science Fiction;Futuristic;Fantasy;Romance;Science Fiction Romance;Science Fiction R...;Futuristic Romance,November 13th 2014,387,,
3271,Besos de murciélago,Silvia Hervás,Young Adult;Romance;Contemporary,May 24th 2012,220,Montena,Spanish
3272,Blood Game,Iris Johansen,Mystery;Suspense;Thriller,October 20th 2009,338,St. Martin's Press,English
3273,From Summer and Fall,Alora Kate,New Adult;Romance;Contemporary;Novella,September 16th 2014,131,Self Publishing,
3274,A Kiss to Remember,Teresa Medeiros,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,April 30th 2002,353,Bantam,English
3275,Nineteen Letters,Jodi Perry;J.L. Perry,Romance;Romance;Contemporary Romance,August 29th 2017,381,Hachette,None
3276,Kitty and the Midnight Hour,Carrie Vaughn,Fantasy;Urban Fantasy;Fantasy;Paranormal;Fantasy;Shapeshifters;Werewolves;Paranormal;Vampires;Fiction,November 1st 2005,259,Grand Central Publishing,English
3277,Fourteen,C.M. Smith,Young Adult;Romance;Fan Fiction;Young Adult;High School,,176,,None
3278,Fate's Edge,Ilona Andrews,Fantasy;Urban Fantasy;Fantasy;Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Magic,November 29th 2011,372,Penguin,English
3279,Best Friends - Better Lovers,Kelly Wallace,Adult Fiction;Erotica;Contemporary;Romance;Fiction,October 2011,291,Sinful Romance,None
3280,Sunshine and Shadow,Sharon Curtis;Tom Curtis;Laura London,Romance;Romance;Contemporary Romance;Contemporary,October 1st 1986,341,Bantam,English
3281,A French Affair,Susan Lewis,Fiction;Romance;Womens Fiction;Chick Lit;Contemporary,March 6th 2007,512,Arrow,English
3282,The One That I Want,Jennifer Echols,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit,December 6th 2011,288,Simon Pulse,English
3283,Blues für Vollmond und Kojote,Christopher Moore;Christoph Hahn,Fiction;Humor;Fantasy;Humor;Comedy,June 9th 2008,414,Wilhelm Goldmann Verlag,German
3284,Forever,Mildred Cram,Fiction;Novella,June 27th 1935,63,Alfred A Knopf,English
3285,Love Left Behind,S.H. Kolee,Romance;Romance;Contemporary Romance;New Adult;Contemporary;Adult Fiction;Erotica,September 22nd 2012,416,S.H. Kolee,None
3286,Melt,Natalie Anderson,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Novella;Did Not Finish;Adult,December 6th 2011,85,Entangled Publishing,None
3287,The High Lord,Trudi Canavan,Fantasy;Fantasy;Magic;Young Adult;Fiction;Fantasy;High Fantasy,November 4th 2004,647,Orbit,English
3288,The Walsingham Woman,Jan Westcott,Historical;Historical Fiction;Fiction;Romance;Historical Romance,,None,Crown,None
3289,The Lord of the Rings: Weapons and Warfare,Chris   Smith;Christopher  Lee;Richard Taylor,Fantasy;Art;Fiction,November 5th 2003,218,Houghton Mifflin Harcourt,English
3290,Loved,Morgan Rice,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Fantasy,March 20th 2011,200,,English
3291,Suite Dreams,Rachel Hawthorne,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Young Adult;Teen;Young Adult;Young Adult Romance,December 23rd 2008,288,HarperTeen,English
3292,Persuade Me,Juliet Archer,Romance;Womens Fiction;Chick Lit;Contemporary;Fiction,September 15th 2011,368,Choc Lit,English
3293,The Color of Grace,Linda Kage,Young Adult;Romance;Contemporary;Young Adult;High School;Romance;Contemporary Romance,September 1st 2012,252,Whiskey Creek Press,
3294,The Secret Trinity: Unearth,Jenna Bernel,Fantasy;Fantasy;Paranormal;Young Adult;Fantasy;Magic;Fairies;Fae;Romance;Paranormal;Witches,May 4th 2012,218,Createspace,
3295,River Marked,Patricia Briggs,Fantasy;Urban Fantasy;Fantasy;Fantasy;Paranormal;Shapeshifters;Werewolves;Romance;Paranormal;Vampires,March 2011,326,Ace Books,English
3296,In Too Deep,Seren Ellis-Owen;Lucy Felthouse;Zara Stoneley,Romance,November 18th 2013,196,Xcite Books,
3297,Morgan's Hunter,Cate Beauman,Romance;Romantic Suspense;Romance;Suspense;Mystery,October 15th 2012,375,CreateSpace Independent Publishing Platform,
3298,The Guardian,Katie Klein,Paranormal;Angels;Fantasy;Paranormal;Romance;Young Adult;Fantasy;Romance;Paranormal Romance,December 9th 2010,175,Katie Klein,
3299,Seven Sons,Lili St. Germain,Dark;Romance,January 3rd 2014,109,Lili Saint Germain Publishing,
3300,The Man in the Brown Suit,Agatha Christie,Mystery;Fiction;Mystery;Crime;Classics,May 1st 1984,416,Ulverscroft,English
3301,Eye of the Storm,Monette Michaels,Romance;Romantic Suspense;Romance;War;Military;Contemporary;Romance;Contemporary Romance;Suspense,April 2010,134,Liquid Silver Books,
3302,Wildwood Dancing,Juliet Marillier,Fantasy;Young Adult;Romance;Fantasy;Fairy Tales;Fiction,January 23rd 2007,407,Knopf,English
3303,Cent'anni di solitudine,Gabriel García Márquez;Enrico Cicogna,Magical Realism;Literature;Classics;Fantasy;Historical;Historical Fiction,,404,Mondadori,Italian
3304,The Island,Lisa Henry,Romance;M M Romance;Erotica;Bdsm;Sociology;Abuse;Dark;Contemporary;Romance,January 10th 2012,182,Loose Id,
3305,Forever Ours,Violette Paradis,,December 24th 2014,56,,
3306,The Fallen Series Trilogy,Lauren Kate,Fantasy;Romance;Paranormal;Angels;Young Adult;Romance;Paranormal Romance,,1320,,
3307,Flat-Out Celeste,Jessica Park,Romance;Young Adult;Contemporary;New Adult,May 22nd 2014,338,Flat Finn; Inc.,
3308,Austenland,Shannon Hale,Fiction;Contemporary;Adult;Adult Fiction,May 29th 2007,197,Bloomsbury Publishing PLC,English
3309,Twilight / Life and Death,Stephenie Meyer,Young Adult;Fantasy;Romance;Paranormal;Vampires;Fantasy;Paranormal,October 6th 2015,738,Atom,English
3310,Conjured,Chelsea Luna,Young Adult;Fantasy;Paranormal;Witches;Fantasy;Paranormal;Young Adult;Young Adult Paranormal,February 20th 2012,316,Createspace,
3311,Blood Ties,Kay Hooper,Fantasy;Paranormal;Mystery;Suspense;Fiction;Romance;Thriller;Mystery;Crime;Romance;Romantic Suspense;Romance;Paranormal Romance;Fantasy,January 13th 2010,311,Bantam,
3312,Made,J.M. Darhower,Romance;Dark;New Adult;Sociology;Abuse,October 27th 2014,530,J.M. Darhower,
3313,Lost Boy,Tara Brown,Dark;New Adult;Erotica;Bdsm;Sociology;Abuse;Romance,July 25th 2013,232,,
3314,Dom Wars: Round Five,Lucian Bane,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Humor,June 13th 2014,119,,
3315,Revenge of the Wronged,Hettie Ivers,Romance;Fantasy;Paranormal;Fantasy;Adult;Fantasy;Magic;Paranormal;Shapeshifters,October 11th 2016,334,Hettie Ivers,
3316,Ashes of Honor,Seanan McGuire,Fantasy;Urban Fantasy;Fantasy;Fantasy;Paranormal;Fairies;Fae;Fantasy;Magic;Fiction;Romance,September 4th 2012,353,DAW,
3317,One Day Soon,A. Meredith Walters,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Sociology;Abuse,February 16th 2016,321,A. Meredith Walters,
3318,Silence,Natasha Preston,Romance;Young Adult;Contemporary,October 19th 2012,206,CreateSpace Independent Publishing Platform,English
3319,The Idea of You: A Novel,Robinne Lee,Romance;Fiction;Contemporary;Romance;Contemporary Romance;Music;Womens Fiction;Chick Lit,June 13th 2017,386,St. Martin's Griffin,
3320,Camille,Tess Oliver,Young Adult;Fantasy;Paranormal;Shapeshifters;Werewolves;Fantasy;Romance,October 24th 2010,252,,
3321,Hour of the Lion,Cherise Sinclair,Fantasy;Paranormal;Paranormal;Shapeshifters;Romance;Adult Fiction;Erotica;Romance;Paranormal Romance;Erotica;Menage,June 15th 2011,217,VanScoy Publishing Group,
3322,Take a Bow,Elizabeth Eulberg,Young Adult;Contemporary;Romance;Music;Realistic Fiction;Womens Fiction;Chick Lit,April 1st 2012,278,Point,None
3323,White Lion's Lady,Tina St. John,Romance;Historical Romance;Romance;Historical;Historical;Medieval,July 31st 2001,320,Ivy Books,English
3324,Something About Polly,Barbara Elsborg,Adult Fiction;Erotica;Contemporary;Romance;Romance;Contemporary Romance;Fiction,January 2009,None,Ellora's Cave,English
3325,Blood Will Tell,Samantha Young,Young Adult;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance,July 1st 2011,273,CreateSpace,English
3326,Freefall,JoAnn Ross,Romance;Romantic Suspense;Romance;War;Military;Suspense;Romance;Contemporary Romance;Contemporary;Fiction,February 5th 2008,375,Signet,English
3327,Slow Heat,Jill Shalvis,Romance;Romance;Contemporary Romance;Sports and Games;Sports;Contemporary;Contemporary Romance;Sports Romance,February 2nd 2010,315,Berkley Books,English
3328,Never Love a Cowboy,Jill Gregory,Westerns;Romance;Historical Romance;Romance;Romance;Western Romance,June 8th 1998,416,Dell,English
3329,Pull,Rachel Van Dyken,Romance;New Adult;Young Adult;Romance;Contemporary Romance,February 27th 2013,363,,
3330,The Cardinal and the Queen,Evelyn Anthony,Historical;Historical Fiction;Cultural;France;Fiction,,222,Coward McCann,
3331,Rising Storm,Kathleen Brooks,Romance;Contemporary;Romance;Romantic Suspense;Suspense,August 17th 2012,242,Createspace Independent Publishing Platform,
3332,Turned,Morgan Rice,Paranormal;Vampires;Young Adult;Fantasy;Paranormal;Fantasy;Romance,January 24th 2011,150,,
3333,Labor of Love,Rachel Hawthorne,Young Adult;Romance;Womens Fiction;Chick Lit;Contemporary;Young Adult;Teen,June 10th 2008,320,HarperTeen,English
3334,Wings of the Morning,Lori Wick,Christian Fiction;Christian;Romance;Historical;Historical Fiction;Fiction;Romance;Christian Romance;Historical,January 1st 2004,273,Harvest House Publishers,English
3335,The Secret Trinity: Reign,Jenna Bernel,Fantasy;Fantasy;Paranormal;Fairies;Fae;Romance;Paranormal;Fairies;Fantasy;Magic;Paranormal;Witches,September 28th 2012,189,,
3336,Mrs. Mike,Benedict Freedman;Nancy Freedman,Historical;Historical Fiction;Romance;Cultural;Canada;Historical;Classics;Young Adult,January 8th 2002,320,Berkley,English
3337,Wrapped Always and Forever,M.J. Fields,Romance;Music,May 11th 2013,454,MJ Fields,
3338,Into the Deep,Samantha Young,New Adult;Romance;Contemporary;Romance;Contemporary Romance;Academic;College,August 9th 2013,315,Samantha Young,
3339,The House of Erotica Witching Hour,Victoria Blisse;Isabel Holley;Nicky Raven;Heather Lin;Vanessa De Sade;Gemma Parkes;Tilly Hunter;Lucy Felthouse,Shapeshifters;Werewolves,October 7th 2013,123,House of Erotica,None
3340,The Case of William Smith,Patricia Wentworth,Mystery;Fiction;Mystery;Cozy Mystery;European Literature;British Literature,,None,Hodder & Stoughton,English
