,id,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language,match
87,11125,11125,665,303,Night Pleasures (Dark-Hunter Novels),Sherrilyn Kenyon,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Apr 2010,324,St Martin's Press,English,Night Pleasures,Sherrilyn Kenyon,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Paranormal;Vampires;Fantasy;Urban Fantasy,September 15th 2009,320,St. Martin's Press,English,1
292,38463,38463,3005,1334,Beautiful Disaster,Jamie Mcguire,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Aug 2012,418,SIMON & SCHUSTER,English,Walking Disaster,Jamie McGuire,Romance;Contemporary;Romance;Contemporary Romance;Young Adult;Academic;College,April 2nd 2013,448,Atria Books,English,0
242,33121,33121,850,1082,Double Time : Sinners on Tour,Olivia Cunning,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,15 Nov 2012,406,Sourcebooks Inc,English,Double Time,Olivia Cunning,Romance;Adult Fiction;Erotica;Contemporary;Music;Erotica;Menage,November 6th 2012,416,Sourcebooks Casablanca,English,1
277,36079,36079,1381,1188,Born of Fire,Sherrilyn Kenyon,Fantasy:Fantasy Books:Romance:Romance Books,03 Nov 2009,540,St Martin's Press,English,Born of the Night,Sherrilyn Kenyon,Romance;Romance;Paranormal Romance;Science Fiction;Fantasy;Paranormal;Fantasy,,560,iPublish.com,,0
211,29238,29238,603,917,The Darkest Whisper,Gena Showalter,Fantasy:Fantasy Books:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Aug 2009,416,HarperCollins Publishers,English,The Darkest Pleasure,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Demons;Fantasy;Romance,July 1st 2008,368,HQN Books,English,0
9,586,586,1170,13,Gone with the Wind,Margaret Mitchell,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,01 Sep 1936,1037,SIMON & SCHUSTER,English,Gone with the Wind,Margaret Mitchell,Classics;Historical;Historical Fiction;Fiction;Romance;Historical;Literature;War;Military History;Civil War;Romance;Historical Romance;Novels,April 1st 1999,1037,Grand Central Publishing,English,1
359,55072,55072,3424,2221,Yes Ma'am : Erotic Stories of Male Submission,Rachel Kramer Bussel,Erotic Fiction:Short Story Books,06 Mar 2008,208,Cleis Press,English,Possession of My Soul,Kia Carrington-Russell,Fantasy;Romance;Young Adult;Fantasy;Paranormal,May 15th 2014,230,Crystal Publishing,English,0
195,25156,25156,1091,779,Midnight Awakening,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,17 Feb 2009,369,Random House USA Inc,English,Deeper Than Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,June 28th 2011,387,Dell,English,0
251,33814,33814,399,1103,Kiss Of The Highlander,Karen Marie Moning,Romance:Romance Books:Historical Romance:Historical Romance,02 Nov 2001,396,Bantam Doubleday Dell Publishing Group Inc,English,The Highlander's Touch,Karen Marie Moning,Romance;Science Fiction;Time Travel;Romance;Paranormal Romance;Romance;Historical Romance;Fantasy;Paranormal;Fantasy;Historical,May 29th 2007,356,Dell Publishing Company,English,0
323,45267,45267,1538,1638,Slightly Sinful,Mary Balogh,Historical Romance:Historical Romance,02 Jul 2004,342,Random House USA Inc,English,Slightly Tempted,Mary Balogh,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,January 2004,356,Dell Bantam Random House,English,0
192,24911,24911,2952,766,Rock Chick Rescue,Kristen Ashley,Contemporary Fiction:Adventure Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,10 Jun 2013,389,Kristen Ashley,English,Rock with Me,Kristen Proby,Romance;Romance;Contemporary Romance;Contemporary;New Adult,May 1st 2013,196,Kristen Publishing,,0
117,15820,15820,197,432,Archangel's Storm,Nalini Singh,Romance:Romance Books,04 Sep 2012,337,Penguin Putnam Inc,English,Angels' Blood,Nalini Singh,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,March 3rd 2009,339,Berkley Sensation,,0
47,5693,5693,642,161,Tangled,Emma Chase,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Jan 2014,256,SIMON & SCHUSTER,English,Tangled,Emma Chase,Romance;Contemporary;Romance;Contemporary Romance;New Adult;Humor;Funny;Adult,August 2nd 2013,254,Gallery Books,,1
172,22108,22108,1091,658,Midnight Awakening,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,17 Feb 2009,369,Random House USA Inc,English,Ashes of Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,May 26th 2009,368,Dell,English,0
